Date,Name,Type,Details
,,,,
,,,,
1-Jan,Tuesday,New Year's Day,Federal Holiday,
,,,,
6-Jan,Sunday,Epiphany,Christian,
7-Jan,Monday,Orthodox Christmas Day,Orthodox,
,,,,
13-Jan,Sunday,Stephen Foster Memorial Day,Observance,
14-Jan,Monday,Orthodox New Year,Orthodox,
18-Jan,Friday,Lee-Jackson Day,State holiday,Virginia
19-Jan,Saturday,Robert E. Lee's Birthday,State holiday,Florida
19-Jan,Saturday,Confederate Heroes' Day,State holiday,Texas
,,,,
21-Jan,Monday,Tu Bishvat/Tu B'Shevat,Jewish holiday,
21-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday,
21-Jan,Monday,Robert E. Lee's Birthday,State holiday,"Alabama, Mississippi"
21-Jan,Monday,Idaho Human Rights Day,State holiday,Idaho
21-Jan,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
,,,,
,,,,
,,,,
29-Jan,Tuesday,Kansas Day,Observance,
,,,,
1-Feb,Friday,National Freedom Day,Observance,
1-Feb,Friday,National Wear Red Day,Observance,
,,,,
2-Feb,Saturday,Groundhog Day,Observance,
3-Feb,Sunday,Super Bowl,Sporting event,
,,,,
4-Feb,Monday,Rosa Parks Day,Local observance,"California, Missouri"
5-Feb,Tuesday,Chinese New Year,Observance,
,,,,
,,,,
,,,,
12-Feb,Tuesday,Lincoln's Birthday,State holiday,"CT, IL, MO, NY"
12-Feb,Tuesday,Lincoln's Birthday,Local observance,Florida
,,,,
14-Feb,Thursday,Valentine's Day,Observance,
14-Feb,Thursday,Statehood Day,Local observance,Arizona
15-Feb,Friday,Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI"
16-Feb,Saturday,Elizabeth Peratrovich Day,Local observance,Alaska
18-Feb,Monday,Presidents' Day,Federal Holiday,"All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI"
18-Feb,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
,,,,
,,,,
28-Feb,Thursday,Linus Pauling Day,Local observance,Oregon
,,,,
,,,,
,,,,
1-Mar,Friday,St. David's Day,"Observance, Christian",
1-Mar,Friday,Read Across America Day,Observance,
1-Mar,Friday,Employee Appreciation Day,Observance,
2-Mar,Saturday,Texas Independence Day,State holiday,Texas
,,,,
4-Mar,Monday,Maha Shivaratri,Hindu Holiday,
4-Mar,Monday,Casimir Pulaski Day,Local observance,Illinois*
5-Mar,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian",
5-Mar,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,"Alabama**, Louisiana"
5-Mar,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,Florida*
